År,Svarsalternativ,Procent,Antal svar
1993,Ganska dåligt förslag,15,265
1994,Ganska dåligt förslag,13,206
1995,Ganska dåligt förslag,15,250
1996,Ganska dåligt förslag,16,273
1997,Ganska dåligt förslag,15,248
1999,Ganska dåligt förslag,20,310
2000,Ganska dåligt förslag,19,301
2001,Ganska dåligt förslag,22,350
2003,Ganska dåligt förslag,19,323
2004,Ganska dåligt förslag,19,308
2005,Ganska dåligt förslag,20,317
2006,Ganska dåligt förslag,19,286
2007,Ganska dåligt förslag,21,320
2008,Ganska dåligt förslag,27,414
2009,Ganska dåligt förslag,20,302
2010,Ganska dåligt förslag,21,329
2013,Ganska dåligt förslag,20,314
2014,Ganska dåligt förslag,26,430
2015,Ganska dåligt förslag,28,413
2016,Ganska dåligt förslag,30,450
2017,Ganska dåligt förslag,29,498
2018,Ganska dåligt förslag,31,523
2019,Ganska dåligt förslag,27,418
2020,Ganska dåligt förslag,28,481
2021,Ganska dåligt förslag,28,421
2022,Ganska dåligt förslag,32,496
2023,Ganska dåligt förslag,29,480
2024,Ganska dåligt förslag,31,536
1986,Mycket dåligt förslag,17,259
1988,Mycket dåligt förslag,22,342
1989,Mycket dåligt förslag,12,180
1990,Mycket dåligt förslag,9,135
1991,Mycket dåligt förslag,9,128
1992,Mycket dåligt förslag,6,116
1993,Mycket dåligt förslag,7,120
1994,Mycket dåligt förslag,4,73
1995,Mycket dåligt förslag,9,156
1996,Mycket dåligt förslag,9,142
1997,Mycket dåligt förslag,7,110
1999,Mycket dåligt förslag,10,148
2000,Mycket dåligt förslag,9,134
2001,Mycket dåligt förslag,9,151
2003,Mycket dåligt förslag,6,96
2004,Mycket dåligt förslag,7,109
2005,Mycket dåligt förslag,8,132
2006,Mycket dåligt förslag,6,93
2007,Mycket dåligt förslag,7,102
2008,Mycket dåligt förslag,10,145
2009,Mycket dåligt förslag,8,118
2010,Mycket dåligt förslag,6,87
2013,Mycket dåligt förslag,11,170
2014,Mycket dåligt förslag,20,327
2015,Mycket dåligt förslag,21,303
2016,Mycket dåligt förslag,23,352
2017,Mycket dåligt förslag,18,311
2018,Mycket dåligt förslag,16,267
2019,Mycket dåligt förslag,18,283
2020,Mycket dåligt förslag,18,315
2021,Mycket dåligt förslag,17,248
2022,Mycket dåligt förslag,23,356
2023,Mycket dåligt förslag,33,550
